id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Camélien;Rey;Boniface.Meunier75@yahoo.fr;repurpose withdrawal;2022-10-04T18:00:43;71697;45464
2;Azélie;Lacroix;Agnan.Chevalier@gmail.com;withdrawal;2022-10-04T21:57:35;75289;21024
3;Valéry;Aubry;Adalsinde.Perrin@gmail.com;Sleek;2022-10-04T07:00:59;71090;65309
4;Auguste;Roussel;Alaine.Sanchez@hotmail.fr;reinvent orchestrate;2022-10-04T02:30:36;52820;82484
5;Anastase;Fontaine;Laurence14@hotmail.fr;mobile Granite;2022-10-04T21:08:30;13439;33970
6;Adrienne;Roux;Marine.Olivier73@gmail.com;Kazakhstan time-frame;2022-10-04T05:54:42;64329;13556
7;Ernestine;Andre;Anal72@yahoo.fr;Devolved rich;2022-10-04T08:24:50;54588;45928
8;Christiane;Schneider;Astart8@yahoo.fr;payment Bretagne;2022-10-04T22:28:14;3244;21747
9;Désiré;Vasseur;Salom_Mercier98@hotmail.fr;white;2022-10-04T13:48:53;90189;81327
10;Acanthe;Rey;Aubertine79@gmail.com;Table Alsace Checking;2022-10-04T02:29:03;32637;8639
